2979.693;100.000;128.000;13213.000;159286;0;-2;
2983.268;100.000;128.000;13214.000;159289;0;-2;
2986.657;100.000;128.000;13215.000;159292;0;-2;
2986.743;100.000;128.000;13216.000;159296;0;-2;
2987.111;100.000;128.000;13217.000;159299;0;-2;
2986.700;100.000;128.000;13218.000;159303;0;-2;
2985.471;100.000;128.000;13219.000;159306;0;-2;
2985.086;100.000;128.000;13220.000;159309;0;-2;
2984.180;100.000;128.000;13221.000;159313;0;-2;
2983.024;100.000;128.000;13222.000;159316;0;-2;
2981.495;100.000;128.000;13223.000;159319;0;-2;
2974.709;100.000;128.000;13224.000;159323;0;-2;
2968.034;100.000;128.000;13225.000;159326;0;-2;
2966.329;100.000;128.000;13226.000;159330;0;-2;
2964.814;100.000;128.000;13227.000;159333;0;-2;
2971.611;100.000;128.000;13228.000;159336;0;-2;
2973.829;100.000;128.000;13229.000;159340;0;-2;
2984.228;100.000;128.000;13230.000;159343;0;-2;
2986.262;100.000;128.000;13231.000;159346;0;-2;
2986.781;100.000;128.000;13232.000;159350;0;-2;
2986.602;100.000;128.000;13233.000;159353;0;-2;
2975.547;100.000;128.000;13234.000;159356;0;-2;
2973.609;100.000;128.000;13235.000;159360;0;-2;
2972.928;100.000;128.000;13236.000;159363;0;-2;
2972.463;100.000;128.000;13237.000;159367;0;-2;
2984.431;100.000;128.000;13238.000;159370;0;-2;
3007.760;100.000;128.000;13239.000;159373;0;-2;
3030.498;100.000;128.000;13240.000;159377;0;-2;
3041.340;100.000;128.000;13241.000;159380;0;-2;
3057.064;100.000;128.000;13242.000;159384;0;-2;
3077.042;100.000;128.000;13243.000;159387;0;-2;
3119.809;62.637;0.000;13244.000;159390;0;-2;
3199.034;40.391;0.000;13245.000;159394;0;-2;
3260.499;28.376;0.000;13246.000;159397;0;-2;
3300.281;20.293;0.000;13247.000;159400;0;-2;
3332.077;14.750;0.000;13248.000;159404;0;-2;
3350.427;11.600;0.000;13249.000;159407;0;-2;
3349.938;9.109;0.000;13250.000;159411;0;-2;
3064.418;7.131;0.000;13251.000;159414;0;-2;
2920.576;8.132;0.000;13252.000;159417;0;-2;
2949.731;9.280;0.000;13253.000;159421;0;-2;
2947.069;10.110;0.000;13254.000;159424;0;-2;
2927.693;9.866;0.000;13255.000;159428;0;-2;
2918.413;8.913;0.000;13256.000;159431;0;-2;
2875.069;7.204;0.000;13257.000;159434;0;-2;
2860.046;6.740;0.000;13258.000;159438;0;-2;
2847.148;6.129;0.000;13259.000;159441;0;-2;
2850.360;5.665;0.000;13260.000;159445;0;-2;
2864.451;4.005;0.000;13261.000;159448;0;-2;
1896.031;3.736;0.000;13262.000;159452;0;-2;
1883.297;4.518;0.000;13263.000;159455;0;-2;
1888.189;5.031;0.000;13264.000;159459;0;-2;
1874.355;5.153;0.000;13265.000;159462;0;-2;
1871.803;5.348;0.000;13266.000;159466;0;-2;
1885.330;5.739;0.000;13267.000;159469;0;-2;
1892.025;6.203;0.000;13268.000;159472;0;-2;
1893.970;6.227;0.000;13269.000;159476;0;-2;
1890.347;6.813;0.000;13270.000;159479;0;-2;
